locality,years_covered,n_obs,annual_growth_pct_poisson,cagr_pct,p_value_year,deviance_explained,trend_score
Riedholz,2014-2025,12,18.95436271470008,17.690395624285273,3.36756657169561e-12,0.8041503845372038,15.242158065683705
Rochefort,2014-2025,12,17.76614510814154,13.431252219546263,3.1017269913552882e-22,0.8478296326973014,15.062664281482599
Ursenbach,2021-2025,5,20.97686721677001,18.920711500272102,1.9706423540433507e-06,0.7106068837077466,14.90630624286013
Landquart,2014-2025,12,18.592692040329805,18.54990607766849,4.68175678812556e-16,0.801423314512221,14.900616880666101
Fraubrunnen,2014-2025,12,17.462877585646886,15.755791177065447,7.48659508501902e-21,0.8297194577938027,14.489289321882486
Stansstad,2014-2025,12,16.400221838273723,17.690395624285273,8.000747523554868e-31,0.8746123532302896,14.343836615471368
Muntogna da Schons,2017-2025,9,16.74837181184856,14.72026904398771,1.5541434057242602e-13,0.840536062437508,14.077610494970541
Plan-les-Ouates,2014-2025,12,15.737668359328683,11.76768745302239,2.9809529661838606e-26,0.8827394232740271,13.892260291191706
Roveredo (GR),2018-2025,8,20.373038942829467,32.046924775612375,0.00011771578974320918,0.6782018594665883,13.817032894012161
Egerkingen,2014-2025,12,15.394220528618273,13.431252219546263,2.1096274813608708e-48,0.8963081495370098,13.797965315570494
Ebikon,2014-2025,12,15.058557073699275,12.349968402959565,1.537864536209395e-25,0.9129686009084677,13.747989783275536
Eschlikon,2014-2025,12,15.83660602640835,17.690395624285273,8.146736967849024e-23,0.8609400832652677,13.634368911015246
Haute-Sorne,2014-2025,12,19.10949156727666,17.690395624285273,5.831642868137262e-09,0.7123142640042412,13.611963421239928
Sion,2014-2025,12,14.456491380780934,16.469974445603384,4.942180390842503e-29,0.9388260852907409,13.5721312100579
Saint-Léonard,2016-2025,10,18.552806713407954,24.136581701520864,9.62062936069259e-07,0.7315369969194834,13.572064507554085
Küsnacht (ZH),2018-2025,8,20.062285295726333,47.23567001803468,0.0003491967808213771,0.673823717991949,13.518443669381526
Crissier,2014-2025,12,14.46416192748634,12.062609509010835,2.5726884984807233e-52,0.9285162759296446,13.430209767352967
Rheinau,2014-2025,12,17.372369633300867,13.431252219546263,8.694523281071974e-10,0.7674729105659948,13.332823085897719
