name,score,version
Buchs,7108.433734939758,2
Schiers,6987.951807228916,2
Knonau,6987.951807228916,2
Andermatt,6987.951807228916,2
Fiesch,6873.493975903615,2
Amriswil,6867.469879518072,2
Roche,6716.8674698795185,2
Hettlingen,6698.795180722894,2
Lucens,6626.506024096385,2
Wetzikon,6385.542168674699,2
Goldach,6265.060240963857,2
Moudon,6265.060240963857,2
Wattwil,6265.060240963854,2
Muri,6144.578313253011,2
Birmensdorf,6024.096385542169,2
Dielsdorf,6024.096385542169,2
Kublis,5819.277108433735,2
La Sarraz,5783.132530120482,2
Klosters,5777.108433734939,2
Beinwil,5542.168674698796,2
Malters,5542.168674698795,2
Horgen,5481.927710843366,2
Grandson,5445.78313253012,2
Aarau,5301.2048192771035,2
Dulliken,5180.7228915662645,2
Bad Ragaz,5060.24096385542,2
Thusis,5060.24096385542,2
Richterswil,4939.759036144578,2
Zernez,4614.4578313253005,2
Sachseln,4578.313253012049,2
Alpnach,4578.313253012049,2
Willisau,4457.831325301205,2
Eglisau,4457.831325301205,2
Raron,4349.397590361445,2
Randa,4349.397590361445,2
Zug,4304.647160068879,2
Avenches,4228.915662650603,2
Arosa,4216.867469879519,2
Pfungen,4216.867469879519,2
Tannay,4216.867469879518,2
Munchenbuchsee,4216.867469879518,2
Daniken,4132.530120481928,2
Root,4084.3373493975896,2
Chateau-dOex,3984.939759036143,2
Kreuzlingen,3883.534136546175,2
Cugy,3867.469879518073,2
Chavornay,3855.4216867469877,2
Mies,3855.4216867469877,2
Wittenbach,3855.4216867469877,2
Courgenay,3759.0361445783133,2
Arbon,3759.036144578312,2
Dagmersellen,3722.8915662650606,2
Hochdorf,3668.67469879518,2
Benken,3650.6024096385536,2
Wolfenschiessen,3578.3132530120483,2
Lyssach,3566.265060240964,2
Bonaduz,3530.1204819277104,2
Ardon,3493.9759036144587,2
Sins,3493.975903614458,2
Poschiavo,3433.7349397590374,2
Yvonand,3397.5903614457834,2
Kandersteg,3373.4939759036147,2
Turbenthal,3373.4939759036147,2
Steinmaur,3373.4939759036147,2
Marthalen,3253.0120481927715,2
Steinhausen,3186.7469879518067,2
Munchenstein,3156.6265060240958,2
Suhr,3012.0481927710844,2
Felben-Wellhausen,2999.9999999999995,2
Celerina,2960.8433734939754,2
Itingen,2951.8072289156626,2
Saanen,2939.7590361445777,2
Engelberg,2891.5662650602408,2
Dubendorf,2891.5662650602408,2
Zuoz,2819.277108433735,2
Mettmenstetten,2771.084337349398,2
Lausen,2771.0843373493976,2
Rothenthurm,2710.843373493976,2
Eschenbach,2698.7951807228915,2
Niederweningen,2662.6506024096384,2
Stansstad,2650.602409638554,2
Wiesendangen,2650.602409638554,2
Nebikon,2650.602409638554,2
Elgg,2650.602409638554,2
Bever,2602.409638554217,2
Maienfeld,2590.3614457831322,2
Lichtensteig,2530.1204819277114,2
